Action,User input,Time,
Starting time, assignment chosen,,17:19:03
Replace rod by beam,179,17:20:34,
Replace rod by beam,190,17:21:14,
Replace rod by beam,179,17:21:17,
Add diagonal: member 1,144,17:22:00,
Add diagonal: member 2,217,17:22:00,
,above input invalid,17:22:22,
Replace rod by beam,157,17:22:24,
Replace rod by beam,147,17:22:27,
Add diagonal: member 1,215,17:22:36,
Add diagonal: member 2,267,17:22:36,
Add diagonal: member 1,144,17:23:51,
Add diagonal: member 2,264,17:23:51,
Add diagonal: member 1,144,17:23:53,
Add diagonal: member 2,264,17:23:53,
Add diagonal: member 1,198,17:24:11,
Add diagonal: member 2,175,17:24:11,
Delete diagonal rod,269,17:24:29,
Replace rod by beam,155,17:24:50,
Replace rod by beam,190,17:24:56,
Replace rod by beam,155,17:25:07,
Replace rod by beam,227,17:25:25,
Replace rod by beam,212,17:25:28,
Replace rod by beam,157,17:25:51,
Replace rod by beam,169,17:25:55,
Replace beam by rod,268,17:26:05,
Replace rod by beam,157,17:26:18,
Replace rod by beam,167,17:26:25,
Replace rod by beam,166,17:26:31,
Replace rod by beam,172,17:26:33,
Replace rod by beam,171,17:26:40,
Replace rod by beam,154,17:27:07,
Replace rod by beam,241,17:27:13,
Replace rod by beam,200,17:27:25,
Replace rod by beam,153,17:27:27,
Add diagonal: member 1,255,17:29:40,
Add diagonal: member 2,146,17:29:40,
Add diagonal: member 1,255,17:29:49,
Add diagonal: member 2,238,17:29:49,
Add diagonal: member 1,251,17:30:09,
Add diagonal: member 2,196,17:30:09,
Add diagonal: member 1,196,17:30:15,
Add diagonal: member 2,146,17:30:15,
Replace rod by beam,234,17:30:25,
Replace rod by beam,232,17:30:29,
Replace rod by beam,198,17:30:52,
Replace rod by beam,197,17:30:57,
Add diagonal: member 1,230,17:31:08,
Add diagonal: member 2,146,17:31:08,
Delete diagonal rod,273,17:31:13,
Add diagonal: member 1,234,17:31:27,
Add diagonal: member 2,230,17:31:27,
Add diagonal: member 1,230,17:31:32,
Add diagonal: member 2,246,17:31:32,
Add diagonal: member 1,246,17:31:57,
Add diagonal: member 2,249,17:31:57,
Add diagonal: member 1,249,17:32:17,
Add diagonal: member 2,179,17:32:17,
Replace rod by beam,142,17:32:42,
Replace rod by beam,163,17:32:48,
Replace rod by beam,186,17:32:59,
Replace rod by beam,185,17:33:04,
Replace rod by beam,142,17:33:08,
Replace rod by beam,157,17:33:11,
,above input invalid,17:33:20,
Replace beam by rod,276,17:33:22,
Replace rod by beam,161,17:33:30,
Replace rod by beam,155,17:33:38,
Replace rod by beam,155,17:33:45,
Replace rod by beam,157,17:33:57,
Replace rod by beam,160,17:34:00,
Replace rod by beam,159,17:34:04,
Add diagonal: member 1,274,17:34:15,
Add diagonal: member 2,15,17:34:15,
,above input invalid,17:34:15,
Add diagonal: member 1,274,17:34:17,
Add diagonal: member 2,156,17:34:17,
Add diagonal: member 1,156,17:34:23,
Add diagonal: member 2,276,17:34:23,
Add diagonal: member 1,247,17:34:32,
Add diagonal: member 2,176,17:34:32,
Add diagonal: member 1,176,17:34:46,
Add diagonal: member 2,275,17:34:46,
Add diagonal: member 1,275,17:35:22,
Add diagonal: member 2,270,17:35:22,
Add diagonal: member 1,270,17:35:26,
Add diagonal: member 2,274,17:35:26,
Delete diagonal rod,280,17:35:38,
Add diagonal: member 1,275,17:35:44,
Add diagonal: member 2,176,17:35:44,
Add diagonal: member 1,240,17:36:19,
Add diagonal: member 2,143,17:36:19,
Add diagonal: member 1,143,17:36:28,
,above input invalid,17:36:28,
Add diagonal: member 1,143,17:36:31,
Add diagonal: member 2,237,17:36:31,
Add diagonal: member 1,241,17:36:51,
Add diagonal: member 2,240,17:36:51,00:17:48
