R,1,6000,9000,3000,0,0,0,Z
R,2,6000,9000,3000,6000,0,0,Z
R,3,6000,9000,3000,12000,0,0,Z
R,4,6000,9000,3000,18000,0,0,Z
R,5,6000,9000,3000,24000,0,0,Z
R,6,6000,9000,3000,30000,0,0,Z
R,7,36000,2000,3000,0,9000,0,Z

R,8,6000,9000,3000,0,0,3000,Z
R,9,6000,9000,3000,6000,0,3000,Z
R,10,6000,9000,3000,12000,0,3000,Z
R,11,6000,9000,3000,18000,0,3000,Z
R,12,6000,9000,3000,24000,0,3000,Z
R,13,6000,9000,3000,30000,0,3000,Z
R,14,36000,2000,3000,0,9000,3000,Z

R,15,6000,9000,3000,0,0,6000,Z
R,16,6000,9000,3000,6000,0,6000,Z
R,17,6000,9000,3000,12000,0,6000,Z
R,18,6000,9000,3000,18000,0,6000,Z
R,19,6000,9000,3000,24000,0,6000,Z
R,20,6000,9000,3000,30000,0,6000,Z
R,21,36000,2000,3000,0,9000,6000,Z

R,22,6000,9000,3000,0,0,9000,Z
R,23,6000,9000,3000,6000,0,9000,Z
R,24,6000,9000,3000,12000,0,9000,Z
R,25,6000,9000,3000,18000,0,9000,Z
R,26,6000,9000,3000,24000,0,9000,Z
R,27,6000,9000,3000,30000,0,9000,Z
R,28,36000,2000,3000,0,9000,9000,Z
