Action,User input,Time
Starting time, assignment chosen,,17:11:22
Add diagonal: member 1,215,17:12:11
Add diagonal: member 2,214,17:12:11
Add diagonal: member 1,258,17:12:37
Add diagonal: member 2,253,17:12:37
Add diagonal: member 1,253,17:12:53
Add diagonal: member 2,258,17:12:53
Replace rod by beam,235,17:14:17
Replace rod by beam,172,17:14:21
Replace rod by beam,145,17:14:26
Replace rod by beam,155,17:14:34
Replace beam by rod,268,17:14:42
Add diagonal: member 1,175,17:15:02
Add diagonal: member 2,174,17:15:02
Add diagonal: member 1,174,17:15:09
Add diagonal: member 2,175,17:15:09
Add diagonal: member 1,144,17:15:34
Add diagonal: member 2,217,17:15:34
Add diagonal: member 1,217,17:15:50
Add diagonal: member 2,144,17:15:50
Add diagonal: member 1,165,17:16:15
Add diagonal: member 2,168,17:16:15
Add diagonal: member 1,168,17:16:21
Add diagonal: member 2,165,17:16:21
Add diagonal: member 1,210,17:16:40
,above input invalid,17:16:40
Add diagonal: member 1,210,17:16:43
Add diagonal: member 2,145,17:16:43
Add diagonal: member 1,210,17:16:49
Add diagonal: member 2,145,17:16:49
Delete diagonal rod,275,17:16:58
Delete diagonal rod,275,17:17:06
Add diagonal: member 1,210,17:17:14
Add diagonal: member 2,145,17:17:14
Add diagonal: member 1,145,17:17:19
Add diagonal: member 2,210,17:17:19
Replace rod by beam,167,17:18:07
Replace rod by beam,170,17:18:36
Replace rod by beam,171,17:19:24
Replace rod by beam,159,17:20:05
Replace rod by beam,213,17:20:09
Replace rod by beam,166,17:20:24
Replace rod by beam,166,17:20:32
Replace beam by rod,271,17:20:58
Replace beam by rod,275,17:21:03
Replace rod by beam,166,17:21:15
Add diagonal: member 1,185,17:21:54
Add diagonal: member 2,260,17:21:54
Add diagonal: member 1,260,17:22:03
Add diagonal: member 2,185,17:22:03
Add diagonal: member 1,173,17:22:20
Add diagonal: member 2,193,17:22:20
Add diagonal: member 1,193,17:22:26
Add diagonal: member 2,173,17:22:26
