Action,User input,Time
Starting time, assignment chosen,,15:24:40
Replace rod by beam,147,15:24:57
,above input invalid,15:24:59
,above input invalid,15:25:01
,above input invalid,15:25:02
,above input invalid,15:25:03
,above input invalid,15:25:03
Action,User input,Time
Starting time, assignment chosen,,11:12:19
Action,User input,Time
Starting time, assignment chosen,,11:23:07
Action,User input,Time
Starting time, assignment chosen,,11:24:56
Action,User input,Time
Starting time, assignment chosen,,09:32:12
Add diagonal: member 1,147,09:32:35
Add diagonal: member 2,220,09:32:35
Replace rod by beam,213,09:32:42
Replace rod by beam,213,09:32:54
Replace rod by beam,146,09:32:57
Replace rod by beam,157,09:33:28
Replace rod by beam,154,09:33:57
Add diagonal: member 1,144,09:34:13
Add diagonal: member 2,215,09:34:13
Add diagonal: member 1,155,09:34:21
Add diagonal: member 2,154,09:34:21
Add diagonal: member 1,174,09:34:50
Add diagonal: member 2,175,09:34:50
Add diagonal: member 1,175,09:35:00
Add diagonal: member 2,166,09:35:00
Add diagonal: member 1,258,09:35:12
Add diagonal: member 2,246,09:35:12
Add diagonal: member 1,142,09:35:24
Add diagonal: member 2,203,09:35:24
Add diagonal: member 1,200,09:35:33
Add diagonal: member 2,178,09:35:33
Add diagonal: member 1,178,09:35:38
Add diagonal: member 2,164,09:35:38
Action,User input,Time
Starting time, assignment chosen,,09:44:55
Add diagonal: member 1,220,09:45:23
Add diagonal: member 2,147,09:45:23
,above input invalid,09:45:45
Add diagonal: member 1,147,09:45:50
Add diagonal: member 2,213,09:45:50
Action,User input,Time
Starting time, assignment chosen,,12:53:46
Add diagonal: member 1,156,13:00:28
Add diagonal: member 2,195,13:00:28
Add diagonal: member 1,145,13:01:00
Add diagonal: member 2,187,13:01:00
Add diagonal: member 1,183,13:01:36
Add diagonal: member 2,203,13:01:36
Add diagonal: member 1,177,13:01:47
Add diagonal: member 2,168,13:01:47
Add diagonal: member 1,156,13:03:19
Add diagonal: member 2,145,13:03:19
Add diagonal: member 1,183,13:04:12
Add diagonal: member 2,177,13:04:12
Add diagonal: member 1,253,13:05:36
Add diagonal: member 2,258,13:05:36
Add diagonal: member 1,169,13:07:50
Add diagonal: member 2,178,13:07:50
Replace rod by beam,178,13:08:27
Replace rod by beam,234,13:08:36
Delete diagonal rod,269,13:10:37
Add diagonal: member 1,212,13:11:43
Add diagonal: member 2,146,13:11:43
Replace rod by beam,194,13:15:15
Replace rod by beam,265,13:15:22
Replace beam by rod,274,13:15:49
Replace rod by beam,201,13:16:01
Add diagonal: member 1,168,13:16:30
Add diagonal: member 2,169,13:16:30
Add diagonal: member 1,144,13:18:35
Add diagonal: member 2,217,13:18:35
Add diagonal: member 1,162,13:19:40
Add diagonal: member 2,160,13:19:40
Delete diagonal rod,273,13:20:58
Delete diagonal rod,263,13:21:27
Add diagonal: member 1,180,13:22:19
Add diagonal: member 2,167,13:22:19
Delete diagonal rod,264,13:24:00
Add diagonal: member 1,174,13:24:12
Add diagonal: member 2,176,13:24:12
