unzoned,pareto,large,small,whole,struct_vol,strain_energy
1,1,0,0,0,7.0538E+09,1.7307E+00
0,0,1,1,0,4.0838E+10,2.2298E+00
0,1,1,1,1,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5621E+09,1.7354E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5621E+09,1.7354E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5640E+09,1.7354E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5621E+09,1.7354E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5621E+09,1.7354E+00
0,0,1,0,0,7.5621E+09,1.7354E+00
0,0,1,0,0,7.5640E+09,1.7354E+00
0,0,1,0,0,7.5640E+09,1.7354E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5640E+09,1.7354E+00
0,1,1,0,0,7.0538E+09,1.7307E+00
0,0,1,0,0,7.5621E+09,1.7354E+00
0,0,1,0,0,7.5640E+09,1.7354E+00
