Action,User input,Time
Starting time, assignment chosen,,16:09:23
Add diagonal: member 1,195,16:12:08
Add diagonal: member 2,179,16:12:08
Delete diagonal rod,267,16:12:23
Add diagonal: member 1,156,16:12:48
Add diagonal: member 2,155,16:12:48
Delete diagonal rod,267,16:12:56
Add diagonal: member 1,179,16:13:21
Add diagonal: member 2,144,16:13:21
Add diagonal: member 1,167,16:13:31
Add diagonal: member 2,170,16:13:31
Add diagonal: member 1,220,16:13:42
Add diagonal: member 2,144,16:13:42
Add diagonal: member 1,167,16:13:59
Add diagonal: member 2,181,16:13:59
Add diagonal: member 1,156,16:14:27
Add diagonal: member 2,155,16:14:27
Delete diagonal rod,271,16:14:33
Add diagonal: member 1,156,16:14:51
Add diagonal: member 2,195,16:14:51
Add diagonal: member 1,203,16:15:01
Add diagonal: member 2,181,16:15:01
Add diagonal: member 1,183,16:15:18
Add diagonal: member 2,179,16:15:18
Add diagonal: member 1,183,16:15:20
Add diagonal: member 2,179,16:15:20
Add diagonal: member 1,183,16:15:25
Add diagonal: member 2,179,16:15:25
Add diagonal: member 1,203,16:15:46
Add diagonal: member 2,183,16:15:46
Add diagonal: member 1,179,16:16:05
Add diagonal: member 2,203,16:16:05
,above input invalid,16:16:41
Delete diagonal rod,274,16:17:51
Add diagonal: member 1,179,16:18:02
Add diagonal: member 2,195,16:18:02
Replace rod by beam,155,16:18:27
Replace rod by beam,258,16:18:34
Replace rod by beam,233,16:18:43
Replace rod by beam,260,16:18:48
Replace rod by beam,215,16:19:27
Add diagonal: member 1,147,16:19:50
Add diagonal: member 2,212,16:19:50
Add diagonal: member 1,212,16:20:05
Add diagonal: member 2,146,16:20:05
Delete diagonal rod,276,16:20:14
Replace rod by beam,275,16:20:38
Replace beam by rod,275,16:20:45
Delete diagonal rod,275,16:20:49
Add diagonal: member 1,212,16:20:58
Add diagonal: member 2,146,16:20:58
Add diagonal: member 1,146,16:21:06
Add diagonal: member 2,212,16:21:06
Replace rod by beam,214,16:21:22
Add diagonal: member 1,254,16:21:56
Add diagonal: member 2,249,16:21:56
Add diagonal: member 1,249,16:22:04
Add diagonal: member 2,254,16:22:04
Replace rod by beam,248,16:22:10
Replace rod by beam,154,16:22:30
