Question,User Answer,User Explanation,,,,,,,,,,,,,,,,
initial zones,10,,,,,,,,,,,,,,,,,
initial designs,5,,,,,,,,,,,,,,,,,
Zone count user:,8,,,,,,,,,,,,,,,,,
Zoned design count user:,2,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,,,,,
Zone 4 cuboids:,5,6,7,8,,,,,,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,13,14,,,,,,,,,,,,
Zone 7 cuboids:,4,,,,,,,,,,,,,,,,,
Zone 8 cuboids:,15,16,17,,,,,,,,,,,,,,,
Zone 9 cuboids:,1,2,13,14,,,,,,,,,,,,,,
Zone 10 cuboids:,3,,,,,,,,,,,,,,,,,
Zone 11 cuboids:,5,6,7,8,9,10,15,16,17,,,,,11=2,,,,
Zone 12 cuboids:,1,2,11,12,13,14,,,,,,,,12=6,,,,
Zone 13 cuboids:,3,,,,,,,,,,,,,13=10,,,,
Zone 14 cuboids:,4,,,,,,,,,,,,,14=7,,,,
Zone 15 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,15=3,,,,
Zone 16 cuboids:,3,,,,,,,,,,,,,16=10,,,,
Zone 17 cuboids:,15,16,17,,,,,,,,,,,17=8,,,,
Zone 18 cuboids:,4,,,,,,,,,,,,,18=7,,,,
Design 0 zones:,3,8,7,10, ,,,,,,,,,,,,,
Design 0 zones:,1,5,4,8,9, ,,,,,,,,,,,,
Design 0 zones:,1,4,8,6,10, ,,,,,,,,,,,,
Design 0 zones:,2,5,7,9, ,,,,,,,,,,,,,
Design 0 zones:,2,6,7,10, ,,,,,,,,,,,,,
Design 13 zones:,11,12,13,14, ,2,6,10,7,,Design 5,,,,,,,
Design 14 zones:,15,16,17,18, ,3,10,8,7,,Design 1,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,,,,
Total compliance in the unzoned design:,29461464.81,,,,,,,,,,,,,,,,,
Structural volume in the unzoned design:,396.9,,,,,,,,,,,,,,,,,
Total compliance in zoned design 1:,319820207.1,,,,,,,,,,,,,,,,,
Structural volume in zoned design 1:,259.2,,,,,,,,,,,,,,,,,
Modification count:,4,,,,,,,,,,,,,,,,,
Added count:,2,,,,,,,,,,,,,,,,,
Deleted count:,2,,,,,,,,,,,,,,,,,
Moved count:,0,,,,,,,,,,,,,,,,,
Resized count:,0,,,,,,,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,,,,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,,,,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,,,,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,,,,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,,,,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,,,,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,,,,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,,,,,,,
Space ID: 9,Size: ,12000,12000,3000,Location: ,12000,12000,3000,,,,,,,,,,
Space ID: 11,Size: ,12000,12000,3000,Location: ,0,12000,3000,,,,,,,,,,
initial zones,1,,,,,,,,,,,,,,,,,
initial designs,1,,,,,,,,,,,,,,,,,
Zone count user:,1,,,,,,,,,,,,,,,,,
Zoned design count user:,1,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Zone 2 cuboids:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Design 0 zones:,1, ,,,,,,,,,,,,,,,,
Design 2 zones:,2, ,,,,,,,,,,,,,,,,
1. How much did you enjoy performing this assignment?,1,,,,,,,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,2,,,,,,,,,,,,,,,,
Step 6: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,,,,
Step 7: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,1,,,,,,,,,,,,,,,,
1..,,,,,,,,,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,4,,,,,,,,,,,,,,,,,
2..,,,,,,,,,,,,,,,,,,
3. How well do you think you performed the assignment?,3,,,,,,,,,,,,,,,,,
3..,,,,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,Yes,,,,,,,,,,,,,,,,,
4..,,,,,,,,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,Yes,,,,,,,,,,,,,,,,,
5..,,,,,,,,,,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,,,,,,,,,,,,,,,,,
e-mail adress:,,,,,,,,,,,,,,,,,,
