Action,User input,Time
Starting time, assignment chosen,,17:28:51
Add diagonal: member 1,253,17:31:48
Add diagonal: member 2,157,17:31:48
Add diagonal: member 1,258 ,17:33:40
Add diagonal: member 2,253,17:33:40
Add diagonal: member 1,158,17:33:53
Add diagonal: member 2,258,17:33:53
Replace rod by beam,216,17:35:33
Replace rod by beam,223,17:35:40
Replace rod by beam,232,17:35:45
Replace rod by beam,256,17:35:50
Replace rod by beam,259,17:35:55
Replace rod by beam,173,17:36:01
Replace rod by beam,161,17:36:05
Replace rod by beam,171,17:36:13
Replace rod by beam,248,17:36:17
Replace rod by beam,160,17:36:22
Replace rod by beam,160,17:36:30
Replace rod by beam,154,17:36:56
Replace rod by beam,242,17:37:01
Replace rod by beam,154,17:37:04
Replace rod by beam,207,17:37:08
Replace rod by beam,207,17:37:12
Replace rod by beam,175,17:37:37
Replace rod by beam,188,17:37:43
Replace rod by beam,183,17:37:46
Replace rod by beam,173,17:37:53
Replace rod by beam,166,17:38:00
Replace rod by beam,157,17:38:03
Replace rod by beam,233,17:38:16
Replace rod by beam,191,17:38:29
Replace rod by beam,191,17:38:34
Replace rod by beam,142,17:38:39
Replace rod by beam,165,17:38:45
Replace rod by beam,164,17:38:49
Replace rod by beam,156,17:38:56
Replace rod by beam,187,17:39:03
Replace rod by beam,156,17:39:06
Replace rod by beam,156,17:39:11
Replace rod by beam,161,17:39:18
Replace rod by beam,156,17:39:25
Replace rod by beam,142,17:39:31
Add diagonal: member 1,163,17:40:20
Add diagonal: member 2,159,17:40:20
Add diagonal: member 1,254,17:40:35
Add diagonal: member 2,158,17:40:35
,above input invalid,17:41:35
Add diagonal: member 1,157,17:42:09
Add diagonal: member 2,160,17:42:09
Add diagonal: member 1,181,17:42:29
Add diagonal: member 2,162,17:42:29
Delete diagonal rod,271,17:43:38
Add diagonal: member 1,155,17:43:56
Add diagonal: member 2,158,17:43:56
Add diagonal: member 1,144,17:44:13
Add diagonal: member 2,154,17:44:13
Delete diagonal rod,234,17:44:44
,above input invalid,17:44:52
Delete diagonal rod,233,17:45:00
Add diagonal: member 1,192,17:45:10
Add diagonal: member 2,145,17:45:10
Add diagonal: member 1,174,17:45:32
Add diagonal: member 2,161,17:45:32
