Action,User input,Time
Starting time, assignment chosen,,15:10:58
Add diagonal: member 1,213,15:11:14
Add diagonal: member 2,147,15:11:14
Action,User input,Time
Starting time, assignment chosen,,15:11:50
Add diagonal: member 1,235,15:12:05
Add diagonal: member 2,258,15:12:05
Add diagonal: member 1,235,15:12:13
Add diagonal: member 2,146,15:12:13
Add diagonal: member 1,147,15:12:19
Add diagonal: member 2,213,15:12:19
Action,User input,Time
Starting time, assignment chosen,,16:29:51
Action,User input,Time
Starting time, assignment chosen,,10:09:42
Action,User input,Time
Starting time, assignment chosen,,10:10:19
Add diagonal: member 1,213,10:10:28
Add diagonal: member 2,147,10:10:28
