Question,User Answer,User Explanation,,,,,,,,,,,,,,,,
initial zones,10,,,,,,,,,,,,,,,,,
initial designs,5,,,,,,,,,,,,,,,,,
Zone count user:,25,,,,,,,,,,,,,,,,,
Zoned design count user:,8,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,,,,,
Zone 4 cuboids:,5,6,7,8,,,,,,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,13,14,,,,,,,,,,,,
Zone 7 cuboids:,4,,,,,,,,,,,,,,,,,
Zone 8 cuboids:,15,16,17,,,,,,,,,,,,,,,
Zone 9 cuboids:,1,2,13,14,,,,,,,,,,,,,,
Zone 10 cuboids:,3,,,,,,,,,,,,,,,,,
Zone 11 cuboids:,4,,,,,,,,,,,,11=7,,,,,
Zone 12 cuboids:,4,9,10,,,,,,,,,,12=1,,,,,
Zone 13 cuboids:,5,6,7,8,9,10,15,16,17,,,,13=2,,,,,
Zone 14 cuboids:,15,16,17,,,,,,,,,,14=8,,,,,
Zone 15 cuboids:,3,,,,,,,,,,,,15=10,,,,,
Zone 16 cuboids:,1,2,11,12,13,14,,,,,,,16=6,,,,,
Zone 17 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,17=3,,,,,
Zone 18 cuboids:,1,2,5,6,7,8,13,14,,,,,,,,,,
Zone 19 cuboids:,3,11,12,,,,,,,,,,19=5,,,,,
Zone 20 cuboids:,5,6,,,,,,,,,,,,,,,,
Zone 21 cuboids:,7,8,,,,,,,,,,,,,,,,
Zone 23 cuboids:,1,,,,,,,,,,,,,,,,,
Zone 24 cuboids:,2,,,,,,,,,,,,,,,,,
Zone 25 cuboids:,13,14,,,,,,,,,,,,,,,,
Zone 26 cuboids:,9,10,,,,,,,,,,,,,,,,
Zone 27 cuboids:,11,12,,,,,,,,,,,,,,,,
Zone 28 cuboids:,3,,,,,,,,,,,,28=10,dubbel,,,,
Zone 29 cuboids:,4,,,,,,,,,,,,29=7,dubbel,,,,
Zone 30 cuboids:,5,6,13,14,,,,,,,,,,,,,,
Zone 31 cuboids:,1,2,7,8,,,,,,,,,,,,,,
Zone 32 cuboids:,9,10,11,12,,,,,,,,,,,,,,
Zone 33 cuboids:,5,6,7,8,,,,,,,,,33=4,,,,,
Zone 34 cuboids:,5,6,7,8,9,10,,,,,,,,,,,,
Zone 35 cuboids:,1,2,7,8,9,10,11,12,,,,,,,,,,
Zone 36 cuboids:,1,2,,,,,,,,,,,,,,,,
Design 0 zones:,3,8,7,10, ,,,,,,,,,,,,,
Design 0 zones:,1,5,8,4,9, ,,,,,,,,,,,,
Design 0 zones:,1,8,6,4,10, ,,,,,,,,,,,,
Design 0 zones:,2,5,7,9, ,,,,,,,,,,,,,
Design 0 zones:,2,6,7,10, ,,,,,,,,,,,,,
Design 14 zones:,13,11,16,15, ,,,,,,,2,7,6,10,Design 5,1,
Design 15 zones:,17,15,14,11, ,,,,,,,3,10,8,7,Design 1,2,
Design 17 zones:,18,19,14,12, ,,,,,,,,,,,,,
Design 36 zones:,14,20,21,23,24,25,26,27,28,29, ,,,,,,,
Design 37 zones:,29,30,14,21,23,24,26,27,28, ,,,,,,,,
Design 38 zones:,29,30,31,14,26,27,28, ,,,,,,,,,,
Design 39 zones:,29,31,14,20,25,26,27,28, ,,,,,,,,,
Design 41 zones:,29,36,14,20,21,25,26,27,28, ,,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,,,,
Total compliance in the unzoned design:,29461464.81,,,,,,,,,,,,,,,,,
Structural volume in the unzoned design:,396.9,,,,,,,,,,,,,,,,,
Total compliance in zoned design 1:,319820207.1,,,,,,,,,,,,,,,,,
Structural volume in zoned design 1:,259.2,,,,,,,,,,,,,,,,,
Modification count:,2,,,,,,,,,,,,,,,,,
Added count:,1,,,,,,,,,,,,,,,,,
Deleted count:,1,,,,,,,,,,,,,,,,,
Moved count:,0,,,,,,,,,,,,,,,,,
Resized count:,0,,,,,,,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,,,,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,,,,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,,,,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,,,,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,,,,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,,,,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,,,,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,,,,,,,
Space ID: 9,Size: ,12000,12000,3000,Location: ,12000,12000,3000,,,,,,,,,,
Space ID: 10,Size: ,12000,12000,3000,Location: ,0,12000,3000,,,,,,,,,,
initial zones,1,,,,,,,,,,,,,,,,,
initial designs,1,,,,,,,,,,,,,,,,,
Zone count user:,6,,,,,,,,,,,,,,,,,
Zoned design count user:,3,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Zone 2 cuboids:,4,5,6,7,8,9,14,15,16,,,,,,,,,
Zone 3 cuboids:,1,2,3,10,11,12,13,17,18,,,,,,,,,
Zone 4 cuboids:,3,14,15,16,17,18,,,,,,,,,,,,
Zone 5 cuboids:,1,2,4,5,6,7,8,9,10,11,12,13,,,,,,
Zone 6 cuboids:,8,9,10,11,,,,,,,,,,,,,,
Zone 7 cuboids:,1,2,4,5,6,7,12,13,,,,,,,,,,
Design 0 zones:,1, ,,,,,,,,,,,,,,,,
Design 5 zones:,2,3, ,,,,,,,,,,,,,,,
Design 6 zones:,4,5, ,,,,,,,,,,,,,,,
Design 10 zones:,4,6,7, ,,,,,,,,,,,,,,
1. How much did you enjoy performing this assignment?,3,,,,,,,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,2,,,,,,,,,,,,,,,,
Step 6: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,,,,
Step 7: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,3,,,,,,,,,,,,,,,,
1..,,"If you want to make every zone and zone design possible,  it will take a lot of time. In that time you are making a lot of zones and zone design,  for which you will already know that you are not gonna choose them. So I stopped eventualy.",,,,,,,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,3,,,,,,,,,,,,,,,,,
2..,,"It was easy to detect the zoens, although I didnt indentify all of them,  choosing was a little more dificuld,  because there were multiple good ones.",,,,,,,,,,,,,,,,
3. How well do you think you performed the assignment?,4,,,,,,,,,,,,,,,,,
3..,,"I made zones and found the biggest ones, so I think I have things. But it could go better.",,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,Yes,,,,,,,,,,,,,,,,,
4..,,"Yes, the AI tool could have choosen the best zone design at the end.",,,,,,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,Yes,,,,,,,,,,,,,,,,,
5..,,It could find every zone and zone design.,,,,,,,,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,"making biggest zones as posiible. maybe abit of aesthetic, in the form that bigger zones are better.",,,,,,,,,,,,,,,,
e-mail adress:,,,,,,,,,,,,,,,,,,
