Action,User input,Time
Starting time, assignment chosen,,16:07:26
Add diagonal: member 1,179,16:08:37
Add diagonal: member 2,144,16:08:37
Add diagonal: member 1,181,16:10:01
Add diagonal: member 2,167,16:10:01
Replace rod by beam,162,16:10:32
Add diagonal: member 1,219,16:11:17
Add diagonal: member 2,147,16:11:17
Replace rod by beam,165,16:12:28
Replace rod by beam,204,16:13:01
Replace rod by beam,160,16:13:45
Replace rod by beam,163,16:13:50
Replace rod by beam,162,16:14:10
Replace rod by beam,161,16:14:30
Replace rod by beam,159,16:14:35
Replace rod by beam,164,16:14:42
Replace rod by beam,166,16:14:52
Replace rod by beam,161,16:17:03
Replace rod by beam,177,16:17:07
Replace rod by beam,146,16:17:19
Replace rod by beam,211,16:17:30
Replace rod by beam,171,16:18:19
Replace rod by beam,145,16:18:37
Replace rod by beam,161,16:18:50
Replace rod by beam,217,16:19:01
Add diagonal: member 1,155,16:19:14
Add diagonal: member 2,235,16:19:14
Add diagonal: member 1,235,16:19:27
Add diagonal: member 2,240,16:19:27
Add diagonal: member 1,240,16:19:37
Add diagonal: member 2,156,16:19:37
Add diagonal: member 1,155,16:20:20
Add diagonal: member 2,154,16:20:20
Add diagonal: member 1,154,16:20:36
Add diagonal: member 2,180,16:20:36
Add diagonal: member 1,166,16:21:00
Add diagonal: member 2,180,16:21:00
Replace rod by beam,233,16:21:27
Replace beam by rod,275,16:21:51
Replace beam by rod,259,16:22:11
Replace beam by rod,258,16:22:21
Replace rod by beam,217,16:22:44
Replace rod by beam,161,16:23:16
Replace rod by beam,157,16:23:27
Replace rod by beam,196,16:24:00
Replace rod by beam,196,16:24:16
Add diagonal: member 1,167,16:24:42
Add diagonal: member 2,186,16:24:42
Add diagonal: member 1,186,16:24:49
Add diagonal: member 2,166,16:24:49
Replace rod by beam,161,16:26:03
Add diagonal: member 1,234,16:27:35
Add diagonal: member 2,260,16:27:35
Add diagonal: member 1,256,16:27:44
Add diagonal: member 2,260,16:27:44
Add diagonal: member 1,256,16:27:53
Add diagonal: member 2,195,16:27:53
Add diagonal: member 1,267,16:28:09
Add diagonal: member 2,238,16:28:09
Add diagonal: member 1,143,16:28:22
Add diagonal: member 2,247,16:28:22
Delete diagonal rod,282,16:28:33
