Action,User input,Time
Starting time, assignment chosen,,16:33:48
Add diagonal: member 1,44,16:36:14
Add diagonal: member 2,179,16:36:14
,above input invalid,16:36:14
Add diagonal: member 1,44,16:36:15
Add diagonal: member 2,179,16:36:15
,above input invalid,16:36:15
Add diagonal: member 1,44,16:36:18
Add diagonal: member 2,17979,16:36:18
,above input invalid,16:36:18
Add diagonal: member 1,44,16:36:21
Add diagonal: member 2,79,16:36:21
,above input invalid,16:36:21
Add diagonal: member 1,156,16:36:32
Add diagonal: member 2,195,16:36:32
Add diagonal: member 1,195,16:36:39
Add diagonal: member 2,179,16:36:39
Add diagonal: member 1,179,16:36:45
Add diagonal: member 2,195,16:36:45
Add diagonal: member 1,195,16:36:51
Add diagonal: member 2,156,16:36:51
Add diagonal: member 1,183,16:37:09
Add diagonal: member 2,203,16:37:09
Add diagonal: member 1,203,16:37:14
Add diagonal: member 2,183,16:37:14
Add diagonal: member 1,203,16:37:53
Add diagonal: member 2,181,16:37:53
Add diagonal: member 1,181,16:37:57
Add diagonal: member 2,203,16:37:57
Replace rod by beam,173,16:38:28
Replace rod by beam,161,16:38:32
Add diagonal: member 1,176,16:38:58
Add diagonal: member 2,168,16:38:58
Add diagonal: member 1,169,16:39:04
Add diagonal: member 2,168,16:39:04
Add diagonal: member 1,181,16:40:03
Add diagonal: member 2,175,16:40:03
Add diagonal: member 1,175,16:40:07
Add diagonal: member 2,181,16:40:07
Add diagonal: member 1,175,16:40:18
Add diagonal: member 2,176,16:40:18
Add diagonal: member 1,176,16:40:22
Add diagonal: member 2,175,16:40:22
Add diagonal: member 1,168,16:40:40
Add diagonal: member 2,176,16:40:40
Add diagonal: member 1,168,16:40:46
Add diagonal: member 2,169,16:40:46
Add diagonal: member 1,179,16:41:10
Add diagonal: member 2,166,16:41:10
Add diagonal: member 1,166,16:41:14
Add diagonal: member 2,176,16:41:14
Delete diagonal rod,284,16:41:37
Add diagonal: member 1,166,16:41:46
Add diagonal: member 2,179,16:41:46
Add diagonal: member 1,166,16:42:08
Add diagonal: member 2,169,16:42:08
Add diagonal: member 1,169,16:42:11
Add diagonal: member 2,166,16:42:11
Add diagonal: member 1,144,16:42:15
Add diagonal: member 2,118,16:42:15
,above input invalid,16:42:15
Add diagonal: member 1,144,16:42:18
Add diagonal: member 2,118,16:42:18
,above input invalid,16:42:18
Add diagonal: member 1,144,16:42:26
Add diagonal: member 2,218,16:42:26
Add diagonal: member 1,218,16:42:30
Add diagonal: member 2,144,16:42:30
Add diagonal: member 1,177,16:42:35
Add diagonal: member 2,144,16:42:35
Add diagonal: member 1,144,16:42:39
Add diagonal: member 2,177,16:42:39
Add diagonal: member 1,156,16:43:00
Add diagonal: member 2,145,16:43:00
Add diagonal: member 1,145,16:43:11
Add diagonal: member 2,156,16:43:11
Add diagonal: member 1,233,16:43:18
Add diagonal: member 2,145,16:43:18
Add diagonal: member 1,145,16:43:22
Add diagonal: member 2,233,16:43:22
Add diagonal: member 1,274,16:43:42
Add diagonal: member 2,218,16:43:42
Replace rod by beam,157,16:43:57
Replace rod by beam,250,16:44:02
Replace rod by beam,154,16:44:06
Replace beam by rod,294,16:44:13
Replace rod by beam,253,16:44:20
Replace rod by beam,156,16:44:27
Replace rod by beam,146,16:44:30
Replace rod by beam,207,16:44:34
Replace rod by beam,146,16:44:37
Replace beam by rod,265,16:44:56
Replace beam by rod,265,16:45:00
