Action,User input,Time
Starting time, assignment chosen,,16:04:54
Add diagonal: member 1,213,16:06:09
Add diagonal: member 2,146,16:06:09
Add diagonal: member 1,146,16:06:44
Add diagonal: member 2,213,16:06:44
Add diagonal: member 1,224,16:06:58
Add diagonal: member 2,234,16:06:58
Add diagonal: member 1,234,16:07:05
Add diagonal: member 2,224,16:07:05
Add diagonal: member 1,169,16:07:35
Add diagonal: member 2,178,16:07:35
Add diagonal: member 1,178,16:07:46
Add diagonal: member 2,169,16:07:46
Add diagonal: member 1,164,16:08:13
Add diagonal: member 2,175,16:08:13
Add diagonal: member 1,175,16:08:20
Add diagonal: member 2,164,16:08:20
Add diagonal: member 1,206,16:08:43
Add diagonal: member 2,142,16:08:43
Add diagonal: member 1,142,16:08:52
Add diagonal: member 2,206,16:08:52
Add diagonal: member 1,258,16:09:28
Add diagonal: member 2,253,16:09:28
Add diagonal: member 1,253,16:09:33
Add diagonal: member 2,258,16:09:33
Add diagonal: member 1,263,16:09:48
Add diagonal: member 2,251,16:09:48
Add diagonal: member 1,251,16:09:52
Add diagonal: member 2,263,16:09:52
Add diagonal: member 1,178,16:10:05
Add diagonal: member 2,177,16:10:05
Add diagonal: member 1,177,16:10:10
Add diagonal: member 2,178,16:10:10
Add diagonal: member 1,163,16:10:26
Add diagonal: member 2,165,16:10:26
Add diagonal: member 1,165,16:10:30
Add diagonal: member 2,163,16:10:30
Add diagonal: member 1,167,16:10:44
,above input invalid,16:10:44
Add diagonal: member 1,167,16:10:46
Add diagonal: member 2,170,16:10:46
Add diagonal: member 1,170,16:10:50
Add diagonal: member 2,167,16:10:50
Add diagonal: member 1,144,16:11:14
Add diagonal: member 2,220,16:11:14
Add diagonal: member 1,220,16:11:18
Add diagonal: member 2,144,16:11:18
Add diagonal: member 1,183,16:11:30
Add diagonal: member 2,203,16:11:30
Add diagonal: member 1,203,16:11:34
Add diagonal: member 2,183,16:11:34
Add diagonal: member 1,156,16:11:40
Add diagonal: member 2,195,16:11:40
Add diagonal: member 1,195,16:11:45
Add diagonal: member 2,156,16:11:45
Add diagonal: member 1,195,16:12:36
Add diagonal: member 2,187,16:12:36
Replace rod by beam,293,16:12:50
Replace beam by rod,293,16:13:03
Delete diagonal rod,293,16:13:05
Add diagonal: member 1,179,16:14:30
Add diagonal: member 2,144,16:14:30
Add diagonal: member 1,144,16:14:34
Add diagonal: member 2,179,16:14:34
Add diagonal: member 1,181,16:14:47
Add diagonal: member 2,167,16:14:47
Add diagonal: member 1,167,16:14:52
Add diagonal: member 2,181,16:14:52
Add diagonal: member 1,195,16:16:01
Add diagonal: member 2,187,16:16:01
Add diagonal: member 1,168,16:16:11
Add diagonal: member 2,203,16:16:11
Replace rod by beam,298,16:16:27
Replace rod by beam,297,16:16:33
Replace beam by rod,297,16:16:47
Add diagonal: member 1,203,16:16:54
Add diagonal: member 2,168,16:16:54
Add diagonal: member 1,168,16:17:01
Add diagonal: member 2,203,16:17:01
Replace beam by rod,297,16:17:12
Add diagonal: member 1,195,16:17:19
Add diagonal: member 2,187,16:17:19
Add diagonal: member 1,187,16:17:25
Add diagonal: member 2,195,16:17:25
