Question,User Answer,User Explanation,,,,,,,,,,
Total compliance in the unzoned design:,26774198.74,,,,,,,,,,,
Structural volume in the unzoned design:,396.9,,,,,,,,,,,
Total compliance in zoned design 1:,40246297.71,,,,,,,,,,,
Total compliance in zoned design 2:,45403851.64,,,,,,,,,,,
Total compliance in zoned design 3:,45441614.75,,,,,,,,,,,
Total compliance in zoned design 4:,59723551.63,,,,,,,,,,,
Total compliance in zoned design 5:,60077259.86,,,,,,,,,,,
Structural volume in zoned design 1:,329.4,,,,,,,,,,,
Structural volume in zoned design 2:,372.6,,,,,,,,,,,
Structural volume in zoned design 3:,372.6,,,,,,,,,,,
Structural volume in zoned design 4:,361.8,,,,,,,,,,,
Structural volume in zoned design 5:,361.8,,,,,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,3,,,,,,,,,,
Total compliance in the unzoned design:,32023936.49,,,,,,,,,,,
Structural volume in the unzoned design:,467.1,,,,,,,,,,,
Total compliance in zoned design 1:,33391148.48,,,,,,,,,,,
Total compliance in zoned design 2:,44239529.68,,,,,,,,,,,
Total compliance in zoned design 3:,44190378.83,,,,,,,,,,,
Total compliance in zoned design 4:,32788160.94,,,,,,,,,,,
Total compliance in zoned design 5:,63034809.78,,,,,,,,,,,
Total compliance in zoned design 6:,53086135.25,,,,,,,,,,,
Structural volume in zoned design 1:,399.6,,,,,,,,,,,
Structural volume in zoned design 2:,399.6,,,,,,,,,,,
Structural volume in zoned design 3:,437.4,,,,,,,,,,,
Structural volume in zoned design 4:,437.4,,,,,,,,,,,
Structural volume in zoned design 5:,432,,,,,,,,,,,
Structural volume in zoned design 6:,432,,,,,,,,,,,
Structural volume for design with minimal volume (1):,399.6,,,,,,,,,,,
Structural volume for design with maximal volume (3):,437.4,,,,,,,,,,,
Total compliance for design with minimal volume (1):,33391148.48,,,,,,,,,,,
Total compliance for design with maximal volume (3):,44190378.83,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,2,,,,,,,,,,
Step 4: Pick one to continue with. Structural volume and compliance are given. Explain your reasoning.,,2,,,,,,,,,,
Step 6: Pick one to continue with out of the two most diverse zoned designs. Explain your reasoning.,,3,,,,,,,,,,
Step 7: This time pick again out of all zoned designs. Explain your reasoning.,,1,,,,,,,,,,
Step 8: Pick one to continue with based on expected SD performance. Explain your reasoning.,,3,,,,,,,,,,
Modification count:,4,,,,,,,,,,,
Added count:,3,,,,,,,,,,,
Deleted count:,1,,,,,,,,,,,
Moved count:,0,,,,,,,,,,,
Resized count:,0,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,
Space ID: 9,Size: ,12000,12000,3000,Location: ,12000,12000,3000,,,,
Space ID: 10,Size: ,12000,6000,3000,Location: ,12000,-6000,0,,,,
Space ID: 11,Size: ,6000,6000,6000,Location: ,0,-6000,0,,,,
Space ID: 12,Size: ,12000,12000,3000,Location: ,0,0,6000,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,
Zone 3 cuboids:,5,6,13,14,18,19,,,,,,
Zone 4 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14
Zone 5 cuboids:,1,2,5,6,7,8,13,14,20,21,22,23
Zone 6 cuboids:,18,19,,,,,,,,,,
Zone 7 cuboids:,1,2,11,12,,,,,,,,
Zone 8 cuboids:,7,8,,,,,,,,,,
Zone 9 cuboids:,1,2,11,12,13,14,,,,,,
Zone 10 cuboids:,4,,,,,,,,,,,
Zone 11 cuboids:,20,21,22,23,,,,,,,,
Zone 12 cuboids:,15,16,17,,,,,,,,,
Zone 13 cuboids:,3,11,12,,,,,,,,,
Zone 14 cuboids:,1,2,,,,,,,,,,
Zone 15 cuboids:,1,2,13,14,,,,,,,,
Zone 16 cuboids:,3,,,,,,,,,,,
Design 0 zones:,4,6,12,11,10,16, ,,,,,
Design 0 zones:,1,6,12,13,5, ,,,,,,
Design 0 zones:,1,12,8,11,13,3,14, ,,,,
Design 0 zones:,1,12,8,11,7,3,16, ,,,,
Design 1054272638 zones:,2,6,11,13,10,15, ,,,,,
Design 0 zones:,2,6,11,9,10,16, ,,,,,
1. How much did you enjoy performing this assignment?,4,,,,,,,,,,,
1..,,Find it nice to think about zoning of the building,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,4,,,,,,,,,,,
2..,,Easy to make zones and think about the desing,,,,,,,,,,
3. How well do you think you performed the assignment?,3,,,,,,,,,,,
3..,,Not sure if I thought a lot about the stiffness of this building,,,,,,,,,,
4. Do you think it would have gone better without the AI tool?,Yes,,,,,,,,,,,
4..,,Because it has more data to choose from,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,Yes,,,,,,,,,,,
5..,,It has more knowledge than me :),,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,Fuctional and the structural functionallity,,,,,,,,,,
7.  Did you prefer choosing from the limited zoned design options or from all zoned design options?,Limited options,,,,,,,,,,,
7..,,Less to choose from and a easier choice because of you not have to compare lots of different options,,,,,,,,,,
Total compliance in the unzoned design:,32023936.49,,,,,,,,,,,
Structural volume in the unzoned design:,467.1,,,,,,,,,,,
